Vigencia Presupuestal;Identificación de la Entidad;Nombre de la Entidad;NIT del Ejecutor del proyecto de Inversión;Identificación del proyecto de Inversión;Nombre del proyecto de Inversión;Código del recurso presupuestal;Descripción del recurso presupuestal;Código del Fondo;Descripción del Fondo;Fecha de registro;Estado;Causal de No Validación;ene-01;feb-01;mar-01;abr-01;may-01;jun-01;jul-01;ago-01;sep-01;oct-01;nov-01;dic-01;ene-02;feb-02;mar-02;abr-02;may-02;jun-02;jul-02;ago-02;sep-02;oct-02;nov-02;dic-02;Meses Posteriores
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AR-1702-1100-2024-00327-0111;FORTALECIMIENTO DE LA PRODUCCION AGRICOLA EN LOS MUNICIPIOS DE ISTMINA RIO IRO Y MEDIO BAUDODEPARTAMENTO DEL CHOCÓ;AR27000;AIR - CHOCÓ;AIRD;ASIGNACION PARA LA INVERSION REGIONAL - DEPARTAMENTOS;2025-01-22 11:18:27;Validado;;0,00;0,00;5957659971,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AR-1709-1100-2022-00327-0024;CONSTRUCCIÓN DE INFRAESTRUCTURA PRODUCTIVA PARA EL EMPAQUE Y COMERCIALIZACIÓN DEL PLÁTANO EN PEQUEÑOS PRODUCTORES DE LOS MUNICIPIOS DE UNGUÍA Y ACANDÍ EN EL DEPARTAMENTO DEL CHOCÓ;AR27000;AIR - CHOCÓ;AIRD;ASIGNACION PARA LA INVERSION REGIONAL - DEPARTAMENTOS;2025-01-22 17:01:01;Validado;;0,00;0,00;7797108124,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AR-2402-0600-2021-00003-0042;REHABILITACIÓN EN PAVIMENTO RÍGIDO EN LA VÍA QUE COMUNICA LA VEREDA EL SIETE Y LA CABECERA MUNICIPAL EL CARMEN DE ATRATO DEPARTAMENTO DEL CHOCÓ;AR27000;AIR - CHOCÓ;AIRD;ASIGNACION PARA LA INVERSION REGIONAL - DEPARTAMENTOS;2025-01-22 17:21:45;Validado;;0,00;4241658190,91;12724974574,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AR-2402-0600-2022-00327-0013;CONSTRUCCIÓN DE PAVIMENTO EN CONCRETO RÍGIDO CALLE 2 - DEL MUNICIPIO EL LITORAL DEL SAN JUAN - DEPARTAMENTO DEL CHOCÓ;AR27000;AIR - CHOCÓ;AIRD;ASIGNACION PARA LA INVERSION REGIONAL - DEPARTAMENTOS;2025-01-22 17:22:19;Validado;;0,00;0,00;4444795562,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AR-2403-0600-2024-00327-0080;MEJORAMIENTO DE LOS SERVICIOS AEROPORTUARIOS Y LA NAVEGACION AEREA DEL AEROPUERTO JOSE CELESTINO MUTIS (ETAPA 2) EN EL MUNICIPIO DE BAHÍA SOLANO;AR27000;AIR - CHOCÓ;AIRD;ASIGNACION PARA LA INVERSION REGIONAL - DEPARTAMENTOS;2025-01-22 17:23:18;Validado;;0,00;0,00;12478020641,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00DA-2201-0700-2024-86320-0004;CONSTRUCCIÓN Y DOTACIÓN DE PLACA POLIDEPORTIVA CUBIERTA EN LA INSTITUCIÓN EDUCATIVA RURAL SINAI MUNICIPIO DE ORITO DEPARTAMENTO DEL PUTUMAYO;DA86320;ASIGNACIONES DIRECTAS 5% ANTICIPADAS - ORITO - PUTUMAYO;ADAN;ASIGNACIONES DIRECTAS ANTICIPADAS;2025-01-22 17:24:07;Validado;;209121267,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00DA-2201-0700-2024-86885-0022;CONSTRUCCIÓN Y DOTACIÓN DE PLACA POLIDEPORTIVA CUBIERTA EN LA INSTITUCIÓN EDUCATIVA RURAL AGROPECUARIA CIUDAD DE VILLAGARZON SEDE LA PAZ MUNICIPIO DE VILLAGARZON DEPARTAMENTO DEL PUTUMAYO;DA86885;ASIGNACIONES DIRECTAS 5% ANTICIPADAS - VILLAGARZÓN - PUTUMAYO;ADAN;ASIGNACIONES DIRECTAS ANTICIPADAS;2025-01-22 17:29:12;Validado;;0,00;202253687,00;415469453,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00DA-4003-1400-2023-86885-0208;CONSTRUCCIÓN DE ALCANTARILLADO PLUVIAL EN LA CLL 5 ENTRE CRA 9 Y CRA 12 CLL 5 ENTRE CRA 15 Y CRA 16 CRA 8 ENTRE CLL 4 Y 5 Y OBRAS COMPLEMENTARIAS EN CLL 5 ENTRE CRAS 8 Y 10 DEL MUNICIPIO DE VILLAGARZÓN;DA86885;ASIGNACIONES DIRECTAS 5% ANTICIPADAS - VILLAGARZÓN - PUTUMAYO;ADAN;ASIGNACIONES DIRECTAS ANTICIPADAS;2025-01-22 17:29:40;Validado;;0,00;717567944,99;363090651,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00DA-4003-1400-2023-86885-0225;CONSTRUCCIÓN DE MURO DE CERRAMIENTO PERIMETRAL EN MAMPOSTERÍA Y MALLA ESLABONADA EN LA PTAP DEL MUNICIPIO DE VILLAGARZÓN - DEPARTAMENTO DEL PUTUMAYO;DA86885;ASIGNACIONES DIRECTAS 5% ANTICIPADAS - VILLAGARZÓN - PUTUMAYO;ADAN;ASIGNACIONES DIRECTAS ANTICIPADAS;2025-01-22 17:30:03;Registrado;;0,00;0,00;242720514,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IA-3202-0900-2023-19142-0115;MEJORAMIENTO MEDIANTE AISLAMIENTO Y REPOBLACIÓN DE ÁREAS AMBIENTALES ESTRATÉGICAS EN EL MUNICIPIO DE CALOTO CAUCA;IA19142;INVERSIÓN LOCAL AMB. Y DES. SOSTENIBLE CALOTO - CAUCA;AILA;ASIGNACION PARA LA INVERSION LOCAL - AMBIENTE Y DESARROLLO SOSTENIBLE;2025-01-22 17:31:11;Validado;;0,00;61568216,72;7,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
